站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
59209,20250605221700,20.4,1000.1,35,217,10.8,1.5,10490.9
59211,20250605221700,20.2,1021.4,22,230,9.4,0.1,10218.3
59218,20250605221700,11.2,1019.0,58,150,9.6,1.4,10497.8
59228,20250605221700,20.8,1006.7,11,155,11.4,0.7,10242.0
59242,20250605221700,26.7,1004.3,83,313,8.5,0.5,10490.5
59254,20250605221700,34.5,1015.7,67,199,4.7,1.5,10167.2
59265,20250605221700,9.1,1005.8,65,185,12.0,1.3,10451.4
59417,20250605221700,16.6,1003.5,90,34,8.4,1.4,10039.0
59431,20250605221700,25.0,1004.9,70,227,7.7,1.0,10421.6
59446,20250605221700,6.4,1001.5,37,99,7.8,0.9,10248.5
59453,20250605221700,22.5,1006.3,25,318,1.8,0.6,10062.1
59626,20250605221700,18.8,1005.6,38,234,5.8,1.0,10181.0
59631,20250605221700,9.3,1021.6,0,243,9.5,0.4,10458.7
59632,20250605221700,2.4,1009.1,89,319,1.2,0.3,10293.5
59644,20250605221700,4.2,1021.2,10,267,5.2,1.3,10406.6
59647,20250605221700,32.0,1018.9,68,50,2.3,0.1,10300.3
56691,20250605221700,8.1,1015.2,38,134,0.0,1.0,10331.3
56693,20250605221700,4.5,1015.9,18,50,10.0,0.5,10106.0
56792,20250605221700,31.4,1019.4,30,148,13.9,0.0,10160.9
56793,20250605221700,19.3,1013.8,40,6,12.3,0.2,10125.6
57606,20250605221700,29.8,1014.3,44,309,14.3,1.3,10244.0
57614,20250605221700,34.3,1023.7,14,351,6.3,0.7,10042.5
57625,20250605221700,11.4,1009.3,6,260,4.4,0.5,10274.0
57647,20250605221700,3.3,1007.6,38,179,7.9,0.1,10438.2
57707,20250605221700,25.4,1026.0,10,332,8.3,0.6,10275.2
57710,20250605221700,17.6,1008.8,15,250,2.7,1.2,10361.7
57712,20250605221700,9.1,1017.4,18,67,2.9,1.2,10186.7
57718,20250605221700,22.3,1006.8,66,189,9.1,0.1,10195.8
57722,20250605221700,22.1,1010.5,5,335,14.0,1.0,10226.1
57729,20250605221700,17.4,1004.0,81,52,3.5,0.4,10058.8
57731,20250605221700,11.4,1022.9,72,145,0.5,0.1,10404.4
57741,20250605221700,28.4,1002.8,34,309,9.9,1.2,10001.2
57803,20250605221700,29.0,1025.0,43,121,6.6,1.1,10258.7
57805,20250605221700,5.6,1024.8,4,332,2.5,0.3,10432.5
57806,20250605221700,16.0,1018.0,72,204,11.1,0.7,10176.7
57816,20250605221700,26.6,1013.9,11,300,13.0,0.6,10052.0
57825,20250605221700,12.9,1020.3,53,179,12.8,0.6,10358.4
57827,20250605221700,34.6,1019.0,38,295,13.0,1.1,10022.5
57832,20250605221700,20.5,1022.2,44,155,0.7,1.2,10133.8
57839,20250605221700,1.8,1005.4,24,166,0.5,0.8,10249.2
57840,20250605221700,18.7,1020.3,66,206,2.3,0.7,10077.1
57902,20250605221700,25.4,1001.3,57,90,4.8,1.3,10104.2
57906,20250605221700,32.8,1014.6,9,55,10.8,0.9,10102.9
57907,20250605221700,11.7,1021.6,27,247,0.2,1.5,10417.8
57910,20250605221700,5.8,1003.6,79,37,12.1,0.2,10301.0
57912,20250605221700,9.5,1004.0,47,289,1.0,1.3,10478.7
57916,20250605221700,21.0,1014.9,81,48,1.2,1.0,10123.7
57922,20250605221700,7.2,1014.2,58,99,14.1,0.2,10444.7
57926,20250605221700,24.3,1016.2,82,53,12.8,0.6,10068.8
57932,20250605221700,15.2,1022.7,76,237,11.2,0.5,10134.9
59758,20250605221700,12.4,1008.2,71,194,12.8,1.4,10176.4
59838,20250605221700,34.0,1006.3,56,102,14.8,0.2,10442.3
59845,20250605221700,13.9,1010.5,23,102,13.2,1.0,10171.0
59849,20250605221700,16.3,1023.5,14,45,11.2,1.4,10329.8
59855,20250605221700,12.7,1024.9,94,181,13.1,0.9,10152.3
59948,20250605221700,20.9,1008.0,43,151,4.8,0.4,10095.3
59954,20250605221700,34.6,1017.1,50,57,13.3,0.1,10177.4
59981,20250605221700,21.6,1016.2,58,249,1.9,1.1,10183.6
53399,20250605221700,13.3,1002.3,91,182,8.4,0.0,10114.7
53593,20250605221700,16.5,1009.6,86,106,7.1,0.6,10205.5
53698,20250605221700,22.2,1008.8,51,270,6.7,0.4,10107.5
53798,20250605221700,15.0,1008.1,19,46,14.0,1.2,10029.6
54308,20250605221700,26.1,1024.7,56,326,9.2,1.3,10345.2
54311,20250605221700,2.6,1025.4,33,53,12.3,1.3,10478.6
54401,20250605221700,29.4,1013.0,9,298,7.4,0.6,10314.9
54405,20250605221700,29.1,1006.0,36,3,7.3,0.1,10199.7
54423,20250605221700,21.5,1000.4,35,18,10.8,0.7,10313.1
54429,20250605221700,25.0,1000.6,79,8,3.6,0.6,10385.1
54436,20250605221700,10.9,1018.4,54,105,3.5,1.2,10269.1
54449,20250605221700,31.1,1004.1,92,204,5.8,1.4,10059.1
54518,20250605221700,23.1,1015.0,32,178,1.6,0.3,10117.7
54534,20250605221700,7.4,1021.0,38,76,7.6,0.2,10110.2
54535,20250605221700,26.4,1022.1,79,345,3.6,1.3,10087.2
54539,20250605221700,22.3,1015.2,37,104,7.5,1.2,10116.6
54602,20250605221700,13.3,1021.7,15,106,3.9,0.5,10434.3
54606,20250605221700,15.5,1023.9,46,261,13.4,1.2,10332.3
54618,20250605221700,1.2,1016.0,73,89,7.9,1.4,10449.1
54624,20250605221700,26.7,1016.0,2,230,10.4,1.2,10483.2
54705,20250605221700,17.9,1023.3,56,102,7.2,0.5,10203.5
53898,20250605221700,1.3,1006.8,18,240,6.2,0.4,10201.9
53986,20250605221700,24.6,1009.2,2,301,1.5,1.1,10365.4
57051,20250605221700,14.4,1006.0,19,73,5.2,0.6,10208.3
57067,20250605221700,10.6,1015.0,63,87,7.1,0.7,10362.5
57071,20250605221700,34.5,1025.5,47,209,4.9,0.9,10479.9
57077,20250605221700,1.1,1001.3,61,30,4.6,1.3,10376.4
57083,20250605221700,1.1,1016.5,36,147,10.2,0.9,10372.1
57084,20250605221700,0.5,1012.8,61,183,4.4,0.8,10429.4
57089,20250605221700,26.7,1014.0,44,2,10.5,1.0,10102.8
57091,20250605221700,10.6,1021.1,34,228,2.5,1.2,10023.2
57156,20250605221700,32.3,1005.2,20,244,1.4,0.6,10382.3
57178,20250605221700,26.7,1014.8,28,204,8.7,0.6,10243.0
57181,20250605221700,33.3,1011.4,94,230,0.1,0.7,10288.8
57193,20250605221700,15.6,1019.1,97,163,9.4,0.9,10026.9
57285,20250605221700,21.9,1000.5,63,92,7.2,1.4,10136.9
57290,20250605221700,13.7,1026.2,72,174,7.5,1.0,10218.2
57297,20250605221700,6.4,1002.0,90,179,6.6,0.0,10235.7
58005,20250605221700,11.7,1002.7,0,316,14.0,0.6,10359.6
58111,20250605221700,23.4,1006.6,24,106,13.6,0.7,10295.5
58208,20250605221700,11.0,1022.1,14,107,10.3,0.6,10319.5
50136,20250605221700,23.0,1008.8,78,55,0.5,0.9,10371.1
50246,20250605221700,2.2,1012.5,86,131,7.4,1.4,10433.5
50247,20250605221700,31.4,1010.2,48,268,2.3,0.4,10466.1
50349,20250605221700,11.1,1009.3,24,201,8.4,0.4,10105.7
50353,20250605221700,18.7,1015.9,7,358,11.9,0.2,10427.2
50442,20250605221700,12.5,1012.0,13,189,13.0,1.1,10036.8
50468,20250605221700,10.6,1022.5,71,140,14.7,0.6,10375.1
50557,20250605221700,27.2,1020.8,11,103,2.6,0.4,10462.3
50564,20250605221700,1.1,1017.5,84,80,0.4,0.4,10038.8
50656,20250605221700,27.6,1014.9,23,211,7.9,0.3,10190.9
50658,20250605221700,0.9,1025.8,54,217,8.6,0.8,10071.7
50674,20250605221700,13.5,1000.3,59,358,7.6,1.3,10052.2
50739,20250605221700,10.4,1009.3,76,295,4.3,1.2,10318.4
50742,20250605221700,9.9,1012.0,42,65,4.9,1.0,10179.4
50745,20250605221700,2.9,1004.8,42,270,13.3,1.3,10338.3
50756,20250605221700,6.9,1004.7,35,265,10.0,0.3,10096.0
50758,20250605221700,17.8,1016.1,58,23,1.9,1.1,10131.5
50774,20250605221700,16.2,1007.1,46,334,7.6,1.3,10083.4
50778,20250605221700,7.8,1015.6,64,217,10.6,0.0,10388.1
50788,20250605221700,18.9,1026.4,74,211,14.7,1.3,10373.8
50844,20250605221700,34.7,1014.4,63,198,11.3,0.7,10359.1
50853,20250605221700,28.4,1010.6,72,269,10.0,1.0,10342.3
50854,20250605221700,22.8,1024.6,60,226,2.2,0.6,10473.1
50862,20250605221700,33.0,1018.7,93,89,13.6,0.2,10386.8
50873,20250605221700,3.3,1002.1,21,103,9.6,1.1,10023.0
50877,20250605221700,31.1,1014.8,21,115,13.9,0.5,10483.9
50888,20250605221700,19.1,1000.7,20,130,1.8,0.6,10207.0
50950,20250605221700,14.2,1018.2,68,62,14.9,0.3,10331.8
50953,20250605221700,33.6,1000.3,98,231,1.5,1.3,10056.3
50955,20250605221700,26.3,1025.5,80,334,0.3,1.3,10367.5
50963,20250605221700,19.5,1013.6,93,96,7.0,1.3,10188.9
50968,20250605221700,4.1,1005.7,20,293,12.0,0.7,10137.1
50973,20250605221700,27.1,1006.7,66,59,12.7,0.8,10188.7
50978,20250605221700,29.2,1004.0,100,57,3.8,1.3,10481.4
50983,20250605221700,29.1,1000.3,11,258,5.1,0.3,10299.3
54094,20250605221700,12.2,1004.8,65,113,8.8,0.4,10154.1
54096,20250605221700,15.8,1014.2,99,311,4.9,0.6,10110.0
57251,20250605221700,22.7,1026.2,71,161,6.4,0.7,10258.4
57256,20250605221700,10.2,1004.4,61,196,8.3,1.1,10220.0
57259,20250605221700,18.6,1017.7,44,188,14.3,1.5,10243.4
57265,20250605221700,13.1,1024.5,56,71,8.3,0.6,10431.8
57278,20250605221700,33.4,1025.8,99,233,9.2,1.5,10037.8
57279,20250605221700,0.6,1006.5,28,139,12.9,0.8,10057.6
57355,20250605221700,6.4,1009.9,82,271,4.8,0.7,10024.7
57358,20250605221700,14.3,1020.8,25,84,13.5,0.5,10447.8
57359,20250605221700,17.0,1014.2,35,117,8.2,1.1,10355.5
57363,20250605221700,27.4,1023.0,66,301,10.2,1.5,10115.5
57378,20250605221700,33.1,1003.4,2,8,12.0,1.2,10322.3
57381,20250605221700,27.0,1009.3,11,104,11.3,1.1,10488.1
57395,20250605221700,19.9,1008.1,96,331,14.6,1.0,10118.9
57399,20250605221700,7.8,1014.3,72,73,0.0,0.8,10296.4
57439,20250605221700,5.2,1002.4,54,176,1.0,1.3,10142.6
57445,20250605221700,28.2,1025.5,61,282,2.9,0.9,10483.0
57447,20250605221700,4.4,1019.6,6,353,5.7,1.5,10369.5
57458,20250605221700,25.5,1000.8,52,94,6.8,1.2,10063.6
57461,20250605221700,21.9,1005.8,70,193,10.9,0.3,10363.9
57476,20250605221700,16.9,1014.8,63,241,11.5,0.0,10053.0
57482,20250605221700,24.6,1000.4,70,301,3.5,1.3,10042.4
57483,20250605221700,9.4,1022.0,37,302,6.5,0.9,10110.5
57493,20250605221700,33.3,1026.1,2,194,6.6,0.8,10034.9
57494,20250605221700,22.5,1013.8,40,76,10.3,1.5,10019.4
57545,20250605221700,16.8,1019.0,91,107,0.1,1.5,10190.0
57573,20250605221700,33.8,1010.2,92,293,11.2,1.0,10387.7
57581,20250605221700,2.7,1013.5,47,32,0.8,1.0,10320.9
57583,20250605221700,27.5,1010.5,86,122,7.3,1.2,10357.2
57595,20250605221700,2.8,1011.5,32,348,13.3,1.3,10179.9
58402,20250605221700,8.4,1016.4,34,253,14.8,1.4,10310.9
58407,20250605221700,6.0,1024.1,55,189,13.3,1.2,10068.7
58500,20250605221700,24.1,1022.9,61,358,3.4,0.8,10405.8
57554,20250605221700,20.9,1018.1,81,357,6.4,1.2,10482.4
57562,20250605221700,14.7,1020.0,97,263,6.6,0.0,10423.4
57574,20250605221700,21.5,1009.4,68,167,13.2,0.3,10482.7
57584,20250605221700,31.5,1017.3,59,189,0.9,1.2,10289.3
57642,20250605221700,24.3,1025.4,71,314,10.2,1.2,10260.6
57649,20250605221700,6.6,1014.3,23,115,13.3,1.0,10449.8
57655,20250605221700,30.1,1003.0,70,256,1.7,0.6,10181.3
57662,20250605221700,29.9,1023.1,38,265,12.5,0.0,10385.9
57669,20250605221700,23.6,1004.4,82,252,12.8,1.4,10315.8
57671,20250605221700,33.0,1024.9,67,329,8.7,0.7,10244.9
57673,20250605221700,27.2,1003.6,77,224,10.3,0.7,10289.3
57679,20250605221700,12.0,1006.8,59,180,4.4,0.5,10430.7
57682,20250605221700,2.1,1014.8,2,318,0.7,1.2,10207.4
57687,20250605221700,33.7,1008.9,19,290,10.9,0.6,10460.9
57745,20250605221700,9.8,1001.2,6,71,5.8,0.7,10169.6
57749,20250605221700,31.2,1018.0,67,102,13.5,0.8,10226.3
57752,20250605221700,18.1,1024.7,69,25,11.3,0.2,10404.3
57758,20250605221700,12.0,1016.1,66,150,4.7,0.1,10422.3
57761,20250605221700,25.6,1019.9,43,135,6.3,1.0,10468.3
57766,20250605221700,22.2,1013.6,45,14,12.3,1.2,10065.4
57774,20250605221700,21.0,1006.5,32,204,6.8,0.6,10005.8
57776,20250605221700,28.1,1008.1,39,353,14.4,0.5,10155.6
57779,20250605221700,24.1,1018.0,96,280,10.6,1.0,10200.9
57780,20250605221700,7.0,1001.8,39,232,12.6,0.2,10180.1
57841,20250605221700,30.0,1022.9,51,312,1.5,0.1,10207.0
57845,20250605221700,13.5,1011.7,63,346,11.5,0.5,10064.3
57853,20250605221700,30.9,1026.1,78,322,5.9,0.2,10120.3
57857,20250605221700,11.5,1007.2,3,275,1.2,1.4,10202.9
57860,20250605221700,8.8,1023.0,36,350,3.5,0.4,10015.4
57866,20250605221700,0.2,1020.0,99,87,7.7,0.5,10215.3
57872,20250605221700,19.2,1022.7,75,271,9.1,0.7,10439.9
57874,20250605221700,25.0,1005.9,72,45,2.3,1.4,10209.8
57889,20250605221700,13.5,1022.9,11,345,8.5,0.6,10478.3
57965,20250605221700,7.2,1016.6,54,214,9.1,1.0,10191.9
57972,20250605221700,6.9,1026.0,32,91,14.8,1.0,10495.4
57974,20250605221700,4.1,1021.3,51,141,10.4,0.1,10423.7
50936,20250605221700,17.9,1001.9,83,124,8.6,0.8,10158.0
50945,20250605221700,12.3,1009.2,64,245,0.0,1.2,10404.8
50948,20250605221700,4.1,1016.9,56,260,7.6,1.4,10382.4
50949,20250605221700,7.6,1006.8,71,207,0.8,0.8,10270.9
54041,20250605221700,11.2,1022.2,23,321,5.9,0.2,10083.9
54049,20250605221700,29.7,1002.5,86,30,12.4,0.0,10483.9
54063,20250605221700,22.4,1007.0,66,336,6.6,1.4,10147.5
54064,20250605221700,4.4,1010.1,19,51,7.6,1.5,10379.2
54142,20250605221700,23.5,1012.0,13,189,5.5,1.4,10257.2
54157,20250605221700,26.6,1010.0,26,63,3.1,0.7,10495.9
54161,20250605221700,30.5,1001.9,98,100,1.1,0.6,10184.3
54165,20250605221700,7.7,1002.4,12,331,9.2,0.5,10206.2
54171,20250605221700,16.8,1026.3,91,43,12.4,0.8,10053.0
54181,20250605221700,18.1,1001.7,92,127,5.2,1.2,10376.6
54186,20250605221700,18.5,1011.5,98,141,1.4,0.3,10374.9
54195,20250605221700,22.5,1024.7,79,154,10.3,1.3,10399.6
54260,20250605221700,14.5,1007.7,67,25,9.1,0.5,10378.6
54263,20250605221700,16.7,1012.9,52,288,4.1,0.6,10183.2
54266,20250605221700,9.5,1011.0,44,251,7.0,0.0,10189.5
54273,20250605221700,13.4,1014.1,84,11,9.0,1.4,10433.5
54276,20250605221700,24.5,1002.8,48,230,3.6,0.7,10209.4
54284,20250605221700,17.9,1018.7,65,288,6.3,1.0,10328.5
54285,20250605221700,25.4,1018.9,2,189,14.5,1.2,10408.0
54286,20250605221700,31.7,1012.6,89,164,10.9,0.9,10346.3
54292,20250605221700,15.1,1022.4,1,76,3.5,0.8,10209.4
54363,20250605221700,12.1,1016.0,96,302,1.9,1.4,10035.9
54374,20250605221700,18.2,1015.4,100,328,5.1,0.5,10303.2
54377,20250605221700,29.8,1008.5,87,245,10.3,0.6,10073.0
54386,20250605221700,16.2,1014.7,7,95,0.1,1.4,10356.1
58026,20250605221700,28.8,1025.3,84,91,4.3,0.6,10433.8
58027,20250605221700,11.2,1002.6,48,316,9.3,0.5,10458.6
58038,20250605221700,14.4,1024.4,89,242,5.1,1.5,10325.1
58040,20250605221700,0.4,1008.1,25,28,10.8,1.0,10180.3
58047,20250605221700,6.1,1007.6,59,272,8.4,1.1,10259.8
58130,20250605221700,12.9,1018.5,78,211,10.6,0.4,10436.2
58135,20250605221700,29.9,1017.1,8,65,6.2,0.4,10077.0
58138,20250605221700,11.4,1022.5,8,208,12.6,1.2,10241.8
58141,20250605221700,8.6,1020.8,9,349,8.6,1.5,10274.5
58143,20250605221700,12.0,1021.2,44,199,5.2,1.4,10273.3
58150,20250605221700,31.1,1025.8,50,102,9.4,0.4,10114.1
58158,20250605221700,0.7,1002.3,0,241,10.8,1.4,10203.4
58238,20250605221700,13.6,1004.7,95,294,3.0,1.5,10251.4
58241,20250605221700,1.6,1014.5,36,338,3.4,0.2,10262.9
58251,20250605221700,18.7,1011.2,19,320,3.1,0.4,10250.1
58252,20250605221700,7.7,1001.4,40,296,8.3,1.0,10394.3
58255,20250605221700,29.3,1004.9,64,12,0.9,0.1,10415.2
58259,20250605221700,33.9,1017.4,86,178,0.6,0.8,10001.9
58265,20250605221700,19.1,1021.7,78,180,10.5,0.1,10442.7
58343,20250605221700,13.8,1013.8,15,357,11.2,0.1,10026.7
58345,20250605221700,24.7,1007.8,52,101,6.9,1.0,10339.2
58354,20250605221700,22.8,1009.5,24,170,13.6,1.0,10444.9
58356,20250605221700,14.3,1016.7,51,266,9.4,1.4,10059.1
58358,20250605221700,5.1,1006.8,95,101,7.8,0.4,10252.6
57598,20250605221700,24.0,1005.8,95,108,0.6,0.0,10195.5
57696,20250605221700,7.8,1023.2,36,146,4.7,1.3,10173.2
57789,20250605221700,18.3,1024.8,9,198,3.5,0.9,10136.1
57793,20250605221700,18.2,1013.3,85,133,14.3,0.0,10323.3
57799,20250605221700,17.1,1021.9,68,202,4.2,0.7,10035.9
57894,20250605221700,15.1,1005.1,76,319,12.8,0.9,10405.4
57896,20250605221700,2.5,1002.4,4,141,2.8,1.4,10384.9
57993,20250605221700,11.5,1017.4,15,237,6.3,1.0,10278.7
58506,20250605221700,15.6,1021.5,19,308,10.4,0.4,10250.0
